feature,importance
Header_Length,0.06586086588744715
Tot sum,0.0641647020948659
Tot size,0.05979232761803017
Max,0.0594750325920502
AVG,0.05265478341171509
Rate,0.04472316095793553
Protocol Type,0.04453482879192864
Std,0.03995915344071971
Variance,0.03878986844898894
UDP,0.038680674383833887
ack_count,0.03646875995549338
syn_count,0.03505980930607274
ICMP,0.03416125349573154
psh_flag_number,0.0338779733244787
TCP,0.03296969245483169
Time_To_Live,0.03262441012575627
syn_flag_number,0.031228041111734658
ack_flag_number,0.031074806435083095
IAT,0.030905726145712593
Number,0.03015734709648475
Min,0.02466350417896685
fin_flag_number,0.02377771097400459
fin_count,0.020958997113041365
HTTPS,0.02018100107407106
HTTP,0.01900611525427674
rst_count,0.015465130993770188
rst_flag_number,0.012240427958138197
SSH,0.008112097294484925
DNS,0.005562022494749468
LLC,0.004080883321881579
IPv,0.003841169833445011
ARP,0.00381533613667906
DHCP,0.0007222008491429484
ece_flag_number,0.00014915493705141243
IRC,9.906619600517153e-05
IGMP,9.539093506815413e-05
cwr_flag_number,5.0341475618220634e-05
Telnet,8.630591745734765e-06
SMTP,7.601308964869012e-06
