feature,importance
Header_Length,0.06761901585668599
Tot sum,0.06647602673067221
Max,0.05800649677403751
Tot size,0.05603325272658552
AVG,0.05478153537921123
Protocol Type,0.04618647969795165
UDP,0.04146101807002107
Rate,0.03982236401796205
syn_count,0.03942972017791768
ICMP,0.03873435681574866
ack_count,0.03826059546932634
psh_flag_number,0.03704053174800913
Variance,0.03619094685890806
Std,0.03524600469220606
TCP,0.03510928641534111
syn_flag_number,0.034101812133860425
Number,0.03284656413016964
ack_flag_number,0.031672628135653524
fin_flag_number,0.02680474119082174
Time_To_Live,0.02537834324826155
Min,0.024044360179759798
IAT,0.023786073653149723
fin_count,0.022845507696884346
HTTP,0.019653075441848966
HTTPS,0.01626939485130613
rst_count,0.015595027454368053
rst_flag_number,0.01417476125147503
SSH,0.008589578153735865
DNS,0.0039505149381367675
ARP,0.0032672929506244322
LLC,0.0030324250987332022
IPv,0.002902107536949461
DHCP,0.0003934566450520194
ece_flag_number,0.00010640343980128689
IRC,9.05387256633838e-05
IGMP,4.97589911634313e-05
cwr_flag_number,3.0023988675721502e-05
Telnet,1.060923923276824e-05
SMTP,7.369494088555528e-06
